iter	RMSE
0	11127.95463
1	10827.42226
2	10581.07208
3	10371.88756
4	10192.6066
5	9848.963135
6	9553.320621
7	9308.584628
8	9106.694885
9	8924.470506
10	8764.253
11	8632.711507
12	8499.1854
13	8398.525251
14	8293.225713
15	8214.758552
16	8138.181075
17	8065.021359
18	8007.798975
19	7953.462027
20	7904.718933
21	7862.286793
22	7822.586945
23	7780.538131
24	7747.919713
25	7714.546987
26	7686.454837
27	7620.320349
28	7564.035218
29	7543.550851
30	7495.75399
31	7474.09188
32	7448.119498
33	7427.387757
34	7381.402285
35	7342.620363
36	7311.310816
37	7293.512224
38	7276.782685
39	7246.745588
40	7216.51331
41	7200.613822
42	7174.296315
43	7148.494351
44	7134.671364
45	7110.779784
46	7089.975405
47	7067.05298
48	7055.641549
49	7033.008154
50	7013.281024
51	6994.657727
52	6985.469821
53	6976.185207
54	6967.288522
55	6955.782593
56	6938.529854
57	6911.416388
58	6894.407651
59	6883.343578
60	6875.761001
61	6864.009956
62	6846.783972
63	6833.52596
64	6819.89641
65	6807.956284
66	6804.270199
67	6790.307981
68	6778.963419
69	6771.048306
70	6747.328306
71	6740.702276
72	6729.667948
73	6725.265162
74	6716.964235
75	6707.226208
76	6699.736161
77	6688.970494
78	6679.849577
79	6670.469818
80	6660.08023
81	6640.64211
82	6633.414881
83	6626.869971
84	6623.039811
85	6617.464365
86	6611.97941
87	6602.282493
88	6595.92956
89	6588.82969
90	6581.403392
91	6571.128403
92	6566.055067
93	6560.963739
94	6553.347289
95	6536.886037
96	6519.214059
97	6516.522673
98	6508.699285
99	6501.462637
100	6493.946121
101	6490.253884
102	6483.231372
103	6465.963063
104	6463.731848
105	6459.126138
106	6454.096088
107	6439.225208
108	6435.832135
109	6432.336815
110	6425.983247
111	6423.839826
112	6421.548671
113	6408.560462
114	6403.383227
115	6401.237046
116	6395.266817
117	6394.136676
118	6383.161924
119	6378.090605
120	6371.85987
121	6367.235373
122	6355.226744
123	6346.429276
124	6344.116779
125	6341.92165
126	6339.538012
127	6337.442157
128	6335.835043
129	6325.38957
130	6320.255962
131	6318.973624
132	6318.159246
133	6313.213836
134	6312.338225
135	6309.039412
136	6299.044681
137	6297.380459
138	6295.631376
139	6294.201582
140	6290.502165
141	6282.628634
142	6276.500349
143	6270.824223
144	6261.076549
145	6257.226338
146	6254.282893
147	6253.301959
148	6252.776539
149	6251.293315
150	6246.882726
151	6240.232757
152	6236.606732
153	6235.931651
154	6230.590321
155	6228.848082
156	6209.366694
157	6208.163285
158	6205.970101
159	6197.920358
160	6192.564763
161	6191.234064
162	6189.279173
163	6188.009474
164	6186.035475
165	6184.495084
166	6181.206562
167	6177.784978
168	6175.762416
169	6171.932861
170	6170.656646
171	6157.2244
172	6155.073284
173	6150.385163
174	6142.869169
175	6140.526478
176	6138.832953
177	6138.260822
178	6136.397322
179	6135.290395
180	6131.430316
181	6129.443572
182	6127.487229
183	6119.217676
184	6117.229024
185	6116.620572
186	6115.29965
187	6108.410725
188	6105.391413
189	6103.239215
190	6101.530069
191	6100.753151
192	6100.344134
193	6098.464462
194	6096.021191
195	6090.698623
196	6087.481895
197	6084.634945
198	6082.218083
199	6078.357436
200	6075.492167
201	6075.098948
202	6069.354994
203	6066.12787
204	6064.609836
205	6062.013333
206	6061.682
207	6060.73428
208	6056.441953
209	6052.81605
210	6051.613404
211	6049.915104
212	6045.201192
213	6043.928301
214	6043.678134
215	6040.934642
216	6034.404232
217	6029.626002
218	6028.001789
219	6026.128564
220	6025.358869
221	6022.797928
222	6019.631117
223	6019.297452
224	6017.054721
225	6015.161578
226	6009.775775
227	6004.177122
228	6001.536528
