iter	Passed	Remaining
0	48	97688
1	96	95934
2	146	97341
3	195	97410
4	245	98079
5	299	99446
6	347	98916
7	397	98978
8	449	99364
9	498	99290
10	549	99354
11	597	98995
12	642	98241
13	690	98008
14	739	97904
15	785	97413
16	833	97227
17	880	96967
18	927	96708
19	978	96913
20	1016	95831
21	1061	95427
22	1104	94930
23	1148	94564
24	1187	93848
25	1237	93973
26	1281	93657
27	1331	93762
28	1387	94325
29	1435	94249
30	1481	94094
31	1524	93745
32	1571	93681
33	1618	93564
34	1663	93371
35	1718	93737
36	1765	93688
37	1812	93586
38	1856	93355
39	1900	93147
40	1948	93109
41	1998	93154
42	2042	92963
43	2092	93042
44	2139	92935
45	2184	92799
46	2237	92984
47	2284	92891
48	2335	92978
49	2383	92942
50	2432	92942
51	2483	93052
52	2528	92888
53	2574	92766
54	2624	92824
55	2683	93169
56	2730	93086
57	2776	92958
58	2830	93118
59	2879	93093
60	2931	93178
61	2973	92948
62	3023	92957
63	3069	92857
64	3113	92695
65	3164	92743
66	3207	92538
67	3254	92473
68	3303	92458
69	3351	92394
70	3404	92507
71	3451	92418
72	3508	92608
73	3552	92467
74	3590	92152
75	3639	92139
76	3688	92115
77	3736	92062
78	3784	92019
79	3832	91988
80	3883	91996
81	3930	91945
82	3979	91905
83	4032	91987
84	4076	91845
85	4127	91862
86	4171	91732
87	4220	91692
88	4267	91626
89	4311	91508
90	4359	91453
91	4405	91356
92	4454	91332
93	4502	91290
94	4548	91200
95	4596	91156
96	4640	91039
97	4693	91094
98	4740	91024
99	4792	91048
100	4838	90965
101	4882	90849
102	4932	90853
103	4985	90891
104	5037	90919
105	5084	90850
106	5136	90871
107	5184	90822
108	5234	90812
109	5286	90834
110	5333	90773
111	5382	90738
112	5430	90678
113	5476	90605
114	5520	90481
115	5561	90321
116	5606	90230
117	5650	90120
118	5698	90077
119	5749	90081
120	5794	89983
121	5839	89889
122	5890	89893
123	5941	89885
124	5988	89820
125	6028	89666
126	6075	89604
127	6121	89526
128	6169	89484
129	6218	89448
130	6263	89365
131	6311	89313
132	6354	89202
133	6405	89204
134	6450	89111
135	6497	89055
136	6546	89024
137	6591	88934
138	6634	88824
139	6679	88738
140	6724	88655
141	6771	88604
142	6817	88528
143	6868	88530
144	6921	88548
145	6969	88496
146	7017	88461
147	7067	88440
148	7112	88359
149	7157	88272
150	7209	88282
151	7255	88212
152	7304	88184
153	7348	88080
154	7390	87971
155	7426	87788
156	7476	87771
157	7520	87675
158	7564	87589
159	7617	87604
160	7666	87567
161	7702	87388
162	7750	87345
163	7799	87317
164	7852	87328
165	7903	87321
166	7961	87381
167	8009	87346
168	8061	87345
169	8107	87278
170	8155	87231
171	8212	87276
172	8258	87210
173	8307	87182
174	8355	87135
175	8402	87083
176	8449	87028
177	8497	86977
178	8541	86892
179	8588	86841
180	8639	86828
181	8692	86827
182	8747	86855
183	8802	86873
184	8846	86786
185	8892	86721
186	8935	86630
187	8990	86652
188	9039	86612
189	9086	86557
190	9133	86507
191	9181	86458
192	9227	86391
193	9273	86328
194	9319	86261
195	9362	86172
196	9407	86100
197	9454	86042
198	9504	86013
199	9553	85977
200	9601	85934
201	9651	85905
202	9704	85904
203	9751	85854
204	9804	85851
205	9850	85788
206	9897	85734
207	9941	85653
208	9991	85624
209	10039	85578
210	10088	85536
211	10133	85467
212	10179	85402
213	10222	85314
214	10268	85253
215	10322	85253
216	10374	85239
217	10425	85221
218	10478	85214
219	10532	85218
220	10576	85136
221	10626	85104
222	10676	85074
223	10725	85039
224	10773	84993
225	10827	84990
226	10875	84944
227	10925	84908
228	10981	84923
229	11030	84883
230	11083	84878
231	11136	84865
232	11187	84841
233	11238	84817
234	11289	84791
235	11331	84699
236	11378	84644
237	11428	84609
238	11475	84557
239	11522	84500
240	11573	84470
241	11621	84422
242	11672	84398
243	11719	84342
244	11764	84274
245	11816	84253
246	11870	84245
247	11915	84178
248	11962	84120
249	12013	84095
250	12058	84028
251	12105	83970
252	12153	83919
253	12201	83875
254	12246	83806
255	12292	83742
256	12336	83669
257	12385	83627
258	12443	83643
259	12489	83585
260	12534	83512
261	12576	83429
262	12624	83380
263	12670	83316
264	12721	83290
265	12772	83263
266	12823	83231
267	12858	83098
268	12911	83087
269	12959	83036
270	13005	82974
271	13052	82921
272	13101	82883
273	13145	82808
274	13191	82744
275	13240	82703
276	13289	82665
277	13343	82650
278	13391	82602
279	13439	82558
280	13484	82487
281	13538	82479
282	13587	82434
283	13630	82360
284	13671	82270
285	13727	82266
286	13779	82242
287	13821	82159
288	13870	82120
289	13919	82079
290	13958	81974
291	14004	81917
292	14052	81868
293	14096	81798
294	14139	81720
295	14185	81665
296	14237	81637
297	14281	81568
298	14328	81516
299	14378	81480
300	14424	81420
301	14466	81340
302	14505	81238
303	14544	81141
304	14591	81090
305	14644	81072
306	14693	81029
307	14727	80903
308	14784	80905
309	14835	80879
310	14877	80798
311	14929	80772
312	14977	80724
313	15022	80660
314	15068	80606
315	15125	80603
316	15170	80539
317	15217	80488
318	15268	80460
319	15320	80431
320	15380	80450
321	15452	80523
322	15518	80570
323	15565	80517
324	15609	80450
325	15673	80480
326	15730	80481
327	15776	80423
328	15828	80393
329	15886	80395
330	15942	80388
331	15984	80306
332	16028	80236
333	16084	80227
334	16144	80241
335	16197	80215
336	16240	80140
337	16293	80118
338	16343	80077
339	16387	80007
340	16435	79962
341	16487	79930
342	16532	79864
343	16584	79834
344	16644	79843
345	16695	79812
346	16741	79751
347	16807	79789
348	16864	79780
349	16919	79764
350	16982	79784
351	17037	79767
352	17086	79722
353	17141	79701
354	17200	79705
355	17257	79696
356	17305	79642
357	17349	79575
358	17404	79554
359	17468	79578
360	17521	79551
361	17570	79502
362	17620	79461
363	17668	79409
364	17723	79389
365	17780	79378
366	17827	79326
367	17881	79301
368	17931	79256
369	17987	79244
370	18045	79236
371	18099	79208
372	18146	79155
373	18201	79133
374	18241	79047
375	18302	79050
376	18353	79012
377	18395	78936
378	18443	78885
379	18496	78853
380	18545	78807
381	18593	78754
382	18645	78721
383	18693	78668
384	18742	78621
385	18786	78553
386	18829	78480
387	18874	78416
388	18939	78435
389	18999	78432
390	19052	78404
391	19108	78385
392	19169	78383
393	19231	78390
394	19268	78294
395	19317	78244
396	19369	78211
397	19420	78170
398	19466	78108
399	19507	78031
400	19551	77961
401	19596	77900
402	19649	77866
403	19709	77860
404	19760	77821
405	19800	77740
406	19852	77703
407	19911	77692
408	19967	77672
409	20013	77615
410	20063	77570
411	20114	77527
412	20155	77451
413	20204	77399
414	20259	77377
415	20307	77324
416	20364	77305
417	20411	77251
418	20460	77202
419	20507	77149
420	20555	77093
421	20620	77105
422	20672	77070
423	20725	77035
424	20771	76975
425	20829	76960
426	20883	76930
427	20939	76908
428	20986	76852
429	21031	76790
430	21086	76764
431	21147	76758
432	21215	76777
433	21266	76735
434	21307	76658
435	21354	76601
436	21400	76542
437	21447	76486
438	21503	76462
439	21567	76465
440	21621	76436
441	21674	76400
442	21731	76379
443	21778	76322
444	21829	76280
445	21874	76218
446	21932	76199
447	21980	76147
448	22026	76085
449	22071	76024
450	22115	75956
451	22174	75943
